Supercharger	Street Address	City	State	Zip	Country	Stalls	kW	GPS	Elev(m)	Status	Open Date	Links
Joplin - S Main St, MO	5002 S Main St	Joplin	MO	64804	USA	8	250	37.033192, -94.515724	296	OPEN	2021-05-02	gmap | forum | tesla
Florence, KY	4990 Houston Rd	Florence	KY	41042	USA	12	250	39.011489, -84.640279	1108	OPEN	2021-05-01	gmap | forum | tesla
Nashville - West Nashville, TN	6814 Charlotte Pike	Nashville	TN	37209-4206	USA	12	250	36.133938, -86.891832	150	OPEN	2021-04-30	gmap | forum
Towson, MD	1300 E Joppa Rd	Towson	MD	21284	USA	8	250	39.396234, -76.575626	147	OPEN	2021-04-23	gmap | forum | tesla
Williston, VT	129 Market St	Williston	VT	05495	USA	8	250	44.449659, -73.108963	121	OPEN	2021-04-23	gmap | forum | tesla
Madison, GA	2012 Eatonton Rd	Madison	GA	30650	USA	8	250	33.558083, -83.473861	202	OPEN	2021-04-23	gmap | forum | tesla
Waldorf, MD	11505 Berry Rd	Waldorf	MD	20603	USA	8	250	38.630127, -76.919032	67	OPEN	2021-04-20	gmap | forum | tesla
Columbus, GA	1591 Bradley Park Dr	Columbus	GA	31904	USA	12	250	32.533485, -84.971362	129	OPEN	2021-04-20	gmap | forum | tesla
Sand City, CA	2040 California Ave	Sand City	CA	93955	USA	12	250	36.621976, -121.844208	16	OPEN	2021-04-17	gmap | forum | tesla
Irvine - Culver Drive, CA	14346 Culver Dr	Irvine	CA	92604	USA	16	250	33.706784, -117.785164	29	OPEN	2021-04-17	gmap | forum | tesla
Colfax, NC	3202 Sandy Ridge Rd	Colfax	NC	27235	USA	8	250	36.095012, -79.994674	292	OPEN	2021-04-08	gmap | forum | tesla
Grapevine, TX	1001 Northwest Highway	Grapevine	TX	76051	USA	12	250	32.941808, -97.067096	187	OPEN	2021-04-07	gmap | forum | tesla
D'Iberville, MS	3586 Sangani Blvd	D'Iberville	MS	39540	USA	12	250	30.459066, -88.893288	3	OPEN	2021-04-06	gmap | forum | tesla
Pedricktown - Clara Barton, NJ	Clara Barton Service Area	Pedricktown	NJ	08067	USA	8	250	39.697702, -75.39773	13	OPEN	2021-04-06	gmap | forum | tesla
Sunnyvale - S Bernardo Ave, CA	639 S Bernardo Ave	Sunnyvale	CA	94087	USA	16	250	37.372668, -122.057332	45	OPEN	2021-04-03	gmap | forum | tesla
Clayton, NM	315 S First St	Clayton	NM	88415	USA	8	250	36.449444, -103.182028	1540	OPEN	2021-04-02	gmap | forum | tesla
Loomis, CA	6119 Horseshoe Bar Rd	Loomis	CA	95650	USA	8	250	38.817444, -121.189472	115	OPEN	2021-04-02	gmap | forum | tesla
Yulee, FL	20 Homegrown Way	Yulee	FL	32097	USA	8	250	30.623736, -81.638238	6	OPEN	2021-04-02	gmap | forum | tesla
Archdale, NC	10206 S Main St	Archdale	NC	27263	USA	8	250	35.899472, -79.946472	245	OPEN	2021-03-31	gmap | forum | tesla
Copperopolis, CA	100 Town Square Rd	Copperopolis	CA	95228	USA	12	250	37.972864, -120.653276	278	OPEN	2021-03-31	gmap | forum | tesla
Brentwood, CA	2455 Sand Creek Rd	Brentwood	CA	94513	USA	16	250	37.9466789, -121.7409128	41	OPEN	2021-03-31	gmap | forum | tesla
Seattle - NE Northgate Way, WA	401 NE Northgate Way	Seattle	WA	98125	USA	16	250	47.705956, -122.327133	85	OPEN	2021-03-30	gmap | forum | tesla
Yakima, WA	121 N Fair Ave	Yakima	WA	98901	USA	8	250	46.608814, -120.491244	317	OPEN	2021-03-30	gmap | forum | tesla
Littleton, MA	812 Constitution Ave	Littleton	MA	01460	USA	12	250	42.553135, -71.473819	68	OPEN	2021-03-30	gmap | forum | tesla
East Point, GA	3660 Marketplace Blvd	East Point	GA	30344	USA	12	250	33.658708, -84.50122	277	OPEN	2021-03-30	gmap | forum | tesla
Peoria - N Sheridan Rd, IL	4125 N Sheridan Rd #20	Peoria	IL	61614	USA	8	250	40.739208, -89.606721	211	OPEN	2021-03-30	gmap | forum | tesla
Bellevue, WA	10333 NE 1st St	Bellevue	WA	98004	USA	8	72	47.610717, -122.202226	28	OPEN	2021-03-30	gmap | forum | tesla
Pedricktown - John Fenwick, NJ	John Fenwick Travel Plaza, New Jersey Tpke Mile Marker 5.4	Pedricktown	NJ	08067	USA	8	250	39.696093, -75.395823	14	OPEN	2021-03-30	gmap | forum | tesla
Santa Ysabel, CA	30270 CA-78	Santa Ysabel	CA	92070	USA	8	250	33.109253, -116.674419	910	OPEN	2021-03-29	gmap | forum | tesla
New Milford, CT	291 Danbury Rd	New Milford	CT	06776	USA	8	250	41.538744, -73.421791	77	OPEN	2021-03-29	gmap | forum | tesla
Doylestown, PA	425 S Main St	Doylestown	PA	18901	USA	8	250	40.300112, -75.127537	90	OPEN	2021-03-26	gmap | forum | tesla
Federal Way, WA	1414 S 324th St	Federal Way	WA	98003	USA	12	250	47.314917, -122.315972	134	OPEN	2021-03-23	gmap | forum | tesla
Van Buren, AR	500 Pointer Trail	Van Buren	AR	72956	USA	6	250	35.458391, -94.356308	165	OPEN	2021-03-19	gmap | forum | tesla
Clovis, CA	870 Herndon Ave	Clovis	CA	93612	USA	12	250	36.836939, -119.6982	112	OPEN	2021-03-19	gmap | forum | tesla
Marietta, GA	3000 Windy Hill Rd SE	Marietta	GA	30067	USA	12	250	33.90375, -84.465778	275	OPEN	2021-03-19	gmap | forum | tesla
Brinkley, AR	Pine Crest Shopping Center	Brinkley	AR	72021	USA	8	250	34.904944, -91.200056	66	OPEN	2021-03-18	gmap | forum | tesla
King George - Owens Drive, VA	17188 Owens Dr	King George	VA	22485	USA	8	250	38.353581, -77.048857	7	OPEN	2021-03-18	gmap | forum | tesla
Hamden - Dixwell Avenue, CT	2100 Dixwell Ave	Hamden	CT	06514	USA	12	250	41.369666, -72.919942	29	OPEN	2021-03-18	gmap | forum | tesla
Newnan, GA	555 Bullsboro Dr	Newnan	GA	30265	USA	12	250	33.393341, -84.759097	285	OPEN	2021-03-17	gmap | forum | tesla
Winter Park, FL	901 N Orlando Ave	Winter Park	FL	32789	USA	12	250	28.604988, -81.365915	31	OPEN	2021-03-17	gmap | forum | tesla
Philadelphia - Church St, PA	2501 Church St	Philadelphia	PA	19124	USA	8	250	40.001987, -75.081547	6	OPEN	2021-03-17	gmap | forum | tesla
Merced - Martin Luther King Junior Way, CA	1425 Martin Luther King Jr Way	Merced	CA	95340	USA	12	250	37.297988, -120.483354	52	OPEN	2021-03-10	gmap | forum | tesla
Draper, UT	208 E 12300 St	Draper	UT	84020	USA	12	250	40.526531, -111.88591	1351	OPEN	2021-03-10	gmap | forum | tesla
State College, PA	223 Colonnade Blvd	State College	PA	16803	USA	8	250	40.815605, -77.901757	373	OPEN	2021-03-05	gmap | forum | tesla
Rockledge, FL	5410 Murrell Rd	Rockledge	FL	32955	USA	12	250	28.26721, -80.71842	9	OPEN	2021-03-04	gmap | forum | tesla
Brownsville, TX	2155 Paredes Line Rd	Brownsville	TX	78521	USA	8	250	25.950115, -97.488512	8	OPEN	2021-03-03	gmap | forum | tesla
Aguadilla, PR	PR-2 , KM 124	Aguadilla	PR	00604	USA	2	72	18.43941429, -67.13209925	171	OPEN	2021-03-03	gmap | forum | tesla
Tilton, NH	65 Laconia Rd	Tilton	NH	03276	USA	8	250	43.455206, -71.565179	143	OPEN	2021-02-25	gmap | forum | tesla
Baltimore - South Caton Avenue, MD	1202 South Caton Ave	Halethorpe	MD	21227	USA	5	250	39.268888, -76.668933	33	OPEN	2021-02-22	gmap | forum | tesla
St. Petersburg, FL	3637 34th St S	St. Petersburg	FL	33711	USA	8	250	27.734808, -82.680101	6	OPEN	2021-02-20	gmap | forum | tesla
Crestview, FL	2670 S Ferdon Blvd	Crestview	FL	32536	USA	8	250	30.733386, -86.566733	69	OPEN	2021-02-17	gmap | forum | tesla
Woodcliff Lake, NJ	441 Chestnut Ridge Rd	Woodcliff Lake	NJ	07677	USA	8	250	41.04175, -74.073701	127	OPEN	2021-02-12	gmap | forum | tesla
Craig, CO	700 E Victory Way	Craig	CO	81625	USA	8	250	40.513995, -107.538785	1886	OPEN	2021-02-12	gmap | forum | tesla
Land O’ Lakes, FL	25155 Maren Way	Land O’ Lakes	FL	34639	USA	8	250	28.189347, -82.40032	21	OPEN	2021-02-03	gmap | forum | tesla
Marianna, FL	2070 FL-71	Marianna	FL	32448	USA	8	250	30.716016, -85.184269	26	OPEN	2021-01-29	gmap | forum | tesla
Mebane, NC	1237 Mebane Oaks Rd	Mebane	NC	27302	USA	8	250	36.070176, -79.270532	202	OPEN	2021-01-27	gmap | forum | tesla
Torrance, CA	3490 Fashion Way	Torrance	CA	90503	USA	20	250	33.834811, -118.349039	26	OPEN	2021-01-22	gmap | forum | tesla
Davis, CA	2151 Cowell Blvd	Davis	CA	95618	USA	16	250	38.542553, -121.725827	13	OPEN	2021-01-20	gmap | forum | tesla
Concord - Diamond Blvd, CA	1975 Diamond Blvd	Concord	CA	94520	USA	16	250	37.969947, -122.058491	11	OPEN	2021-01-15	gmap | forum | tesla
Tappahannock, VA	1804 Tappahannock Blvd	Tappahannock	VA	22560	USA	8	250	37.903836, -76.865734	11	OPEN	2021-01-14	gmap | forum | tesla
Rehoboth Beach, DE	30155 Veterans Way	Rehoboth Beach	DE	19971	USA	8	250	38.712542, -75.10381	7	OPEN	2021-01-07	gmap | forum | tesla
San Mateo - Hillsdale Boulevard, CA	1308 W Hillsdale Blvd	San Mateo	CA	94403	USA	12	250	37.533306, -122.327472	108	OPEN	2021-01-06	gmap | forum | tesla
Wells, NV	1440 6th St	Wells	NV	89835	USA	8	250	41.101369, -114.956259	1721	OPEN	2021-01-02	gmap | forum | tesla
Goldsboro, NC	1001 N Spence Ave	Goldsboro	NC	27530	USA	8	250	35.386452, -77.948309	33	OPEN	2020-12-31	gmap | forum | tesla
Salem - Apperson Dr, VA	1435 Apperson Dr	Salem	VA	24153	USA	2	72	37.271756, -80.037063	306	OPEN	2020-12-31	gmap | forum | tesla
Hagerstown - Venture Dr, MD	17803 Venture Dr	Hagerstown	MD	21740	USA	8	250	39.608895, -77.750802	175	OPEN	2020-12-30	gmap | forum | tesla
Irvine - Main St, CA	1970 Main St	Irvine	CA	92614	USA	24	72	33.684357, -117.851746	11	OPEN	2020-12-26	gmap | forum | tesla
Granada Hills, CA	10823 Zelzah Ave	Granada Hills	CA	91344	USA	16	250	34.266172, -118.524155	317	OPEN	2020-12-24	gmap | forum | tesla
Cedar City, UT	5249 West 3650 South	Cedar City	UT	84720	USA	4	56	37.606299, -113.161244	1678	OPEN	2020-12-23	gmap | forum | tesla
Entiat, WA	14581 US Hwy 97a	Entiat	WA	98822	USA	8	250	47.684662, -120.206959	237	OPEN	2020-12-23	gmap | forum | tesla
Montrose, CO	533 N 1st St	Montrose	CO	81401	USA	8	250	38.481242, -107.876472	1769	OPEN	2020-12-18	gmap | forum | tesla
Williamsburg, VA	842 Merrimac Trail	Williamsburg	VA	23185	USA	8	250	37.266487, -76.676613	25	OPEN	2020-12-18	gmap | forum | tesla
Winter Garden, FL	13501 W Colonial Dr	Winter Garden	FL	34787	USA	8	250	28.551646, -81.584416	39	OPEN	2020-12-18	gmap | forum | tesla
Malibu, CA	3862 Cross Creek Rd	Malibu	CA	90265	USA	8	250	34.036024, -118.684095	4	OPEN	2020-12-17	gmap | forum | tesla
Greenbrae, CA	Bon Air Center, Sir Francis Drake Blvd	Greenbrae	CA	94904	USA	14	72	37.944776, -122.522706	4	OPEN	2020-12-16	gmap | forum | tesla
Greenfield, CA	560 Walnut Ave	Greenfield	CA	93927	USA	12	250	36.32925, -121.245444	86	OPEN	2020-12-15	gmap | forum | tesla
Clarksburg, NJ	548 Monmouth Rd	Millstone	NJ	08510	USA	8	250	40.15767, -74.430151	47	OPEN	2020-12-15	gmap | forum | tesla
Glen Mills, PA	970 Baltimore Pike	Glen Mills	PA	19342	USA	8	250	39.883186, -75.534198	130	OPEN	2020-12-14	gmap | forum | tesla
Petersburg - Wagner Rd, VA	151 Wagner Rd	Petersburg	VA	23805	USA	8	250	37.1906, -77.3663	47	OPEN	2020-12-12	gmap | forum | tesla
Montauk, NY	95 Carl Fisher Plaza	Montauk	NY	11954	USA	8	250	41.035822, -71.943868	6	OPEN	2020-12-11	gmap | forum | tesla
Riverhead, NY	1791 Old Country Rd	Riverhead	NY	11901	USA	8	250	40.923322, -72.702788	10	OPEN	2020-12-11	gmap | forum | tesla
Seattle - NW Ballard Way, WA	1416 NW Ballard Way	Seattle	WA	98107	USA	8	150	47.662639, -122.374975	9	OPEN	2020-12-11	gmap | forum | tesla
Lexington, NC	2350 S Main St	Lexington	NC	27292	USA	8	250	35.800189, -80.288565	223	OPEN	2020-12-10	gmap | forum | tesla
Lisbon, CT	160 River Rd	Lisbon	CT	06351	USA	8	250	41.58569, -71.991059	39	OPEN	2020-12-08	gmap | forum | tesla
Seattle - 1201 2nd Avenue, WA	1201 2nd Ave	Seattle	WA	98101	USA	4	72	47.6066581, -122.3371498	24	OPEN	2020-12-07	gmap | forum | tesla
Peachtree Corners, GA	5220 Town Center Blvd	Peachtree Corners	GA	30092	USA	12	250	33.978802, -84.214918	305	OPEN	2020-12-04	gmap | forum | tesla
Irvine - Walnut Ave, CA	5406 Walnut Ave	Irvine	CA	92604	USA	8	250	33.689828, -117.769439	47	OPEN	2020-12-04	gmap | forum | tesla
Washington - Market St NE, DC	2438 Market St NE	Washington	DC	20018	USA	12	250	38.92225, -76.953333	30	OPEN	2020-11-26	gmap | forum | tesla
Gilroy - Camino Arroyo, CA	6705 Camino Arroyo	Gilroy	CA	95020	USA	12	250	37.000817, -121.554338	57	OPEN	2020-11-26	gmap | forum | tesla
St. George - Convention Center Drive, UT	Convention Center Dr	St. George	UT	84790	USA	4	75	37.077652, -113.583912	776	OPEN	2020-11-25	gmap | forum | tesla
Salt Lake City - S 300 W, UT	1038 S 300 W	Salt Lake City	UT	84101	USA	4	72	40.746393, -111.900534	1290	OPEN	2020-11-25	gmap | forum | tesla
Fresno - North Riverside Drive, CA	5001 N Riverside Dr	Fresno	CA	93722	USA	12	250	36.832164, -119.908341	91	OPEN	2020-11-24	gmap | forum | tesla
Oakland - 2nd St, CA	255 2nd St	Oakland	CA	94607	USA	12	72	37.794153, -122.272578	4	OPEN	2020-11-22	gmap | forum | tesla
Austin - Century Oaks Terrace, TX	11410 Century Oaks Terrace	Austin	TX	78758	USA	16	72	30.4023, -97.7247	237	OPEN	2020-11-21	gmap | forum | tesla
Falls Church, VA	7501 Leesburg Pike	Falls Church	VA	22043	USA	8	250	38.902472, -77.203588	111	OPEN	2020-11-20	gmap | forum | tesla
Santa Ana - E 5th St, CA	300 E 5th St	Santa Ana	CA	92701	USA	20	72	33.748796, -117.866115	37	OPEN	2020-11-20	gmap | forum | tesla
Emeryville - Shellmound St, CA	5901 Shellmound St	Emeryville	CA	94608	USA	12	250	37.840449, -122.293936	3	OPEN	2020-11-20	gmap | forum | tesla
Woodland, CA	2185 Bronze Star Dr	Woodland	CA	95776	USA	8	250	38.671368, -121.723893	11	OPEN	2020-11-19	gmap | forum | tesla
Traver, CA	36005 CA-99	Traver	CA	93673	USA	16	250	36.44881, -119.486404	87	OPEN	2020-11-18	gmap | forum | tesla
San Diego - Balboa Mesa, CA	5617 Balboa Av	San Diego	CA	92111	USA	16	250	32.818922, -117.179792	112	OPEN	2020-11-18	gmap | forum | tesla
Bishop, CA	151 S Warren St	Bishop	CA	93514	USA	12	250	37.360397, -118.396963	1263	OPEN	2020-11-18	gmap | forum | tesla
Fremont - Pacific Commons, CA	43950 Pacific Commons Blvd	Fremont	CA	94538	USA	12	250	37.502482, -121.968927	6	OPEN	2020-11-18	gmap | forum | tesla
Cupertino - Stevens Creek Blvd, CA	20745 Stevens Creek Blvd	Cupertino	CA	95014	USA	28	250	37.324722, -122.03684	76	OPEN	2020-11-17	gmap | forum | tesla
Hesperia, CA	12795 Main St	Hesperia	CA	92345	USA	16	250	34.424864, -117.385861	1077	OPEN	2020-11-17	gmap | forum | tesla
Stockton, CA	2323 Grand Canal Blvd	Stockton	CA	95207	USA	12	250	37.984978, -121.335924	3	OPEN	2020-11-13	gmap | forum | tesla
Firebaugh, CA	46272 W Panoche Rd	Firebaugh	CA	93622	USA	56	250	36.639287, -120.625451	146	OPEN	2020-11-13	gmap | forum | tesla
Palm Coast, FL	5600 FL-100 East	Palm Coast	FL	32164	USA	8	250	29.475857, -81.206442	9	OPEN	2020-11-13	gmap | forum | tesla
Water Mill, NY	760 Montauk Hwy	Water Mill	NY	11976	USA	8	250	40.912008, -72.352969	6	OPEN	2020-11-08	gmap | forum | tesla
Buffalo Grove, IL	1550 Deerfield Pkwy	Buffalo Grove	IL	60089	USA	12	250	42.168699, -87.923841	197	OPEN	2020-11-07	gmap | forum | tesla
San Jose - Holger Way, CA	95 Holger Wy	San Jose	CA	95134	USA	14	72	37.417281, -121.956897	3	OPEN	2020-11-07	gmap | forum | tesla
Rowland Heights, CA	17247 Colima Rd	Rowland Heights	CA	91748	USA	8	72	33.991811, -117.92803	135	OPEN	2020-11-07	gmap | forum | tesla
Playa Vista - West Jefferson Blvd, CA	12746 W Jefferson Blvd	Playa Vista	CA	90094	USA	14	72	33.977104, -118.417167	11	OPEN	2020-11-06	gmap | forum | tesla
Salem, OR	3790 Center St NE	Salem	OR	97301	USA	12	250	44.93894, -122.987919	64	OPEN	2020-11-05	gmap | forum | tesla
Jackson, CA	31 CA-88	Jackson	CA	95642	USA	8	250	38.347998, -120.7766	374	OPEN	2020-11-05	gmap | forum | tesla
Hillsboro, OR	18101 NW Evergreen Pkwy	Hillsboro	OR	97006	USA	12	250	45.538579, -122.866166	70	OPEN	2020-11-05	gmap | forum | tesla
Hilton Head Island, SC	33 Office Park Rd	Hilton Head Island	SC	29928	USA	8	250	32.15369, -80.767933	4	OPEN	2020-11-05	gmap | forum | tesla
Medford, OR	2000 Crater Lake Hwy	Medford	OR	97504	USA	12	250	42.347992, -122.878882	402	OPEN	2020-11-04	gmap | forum | tesla
Daytona Beach, FL	2380 W International Speedway Blvd	Daytona Beach	FL	32114	USA	12	250	29.183314, -81.07889	8	OPEN	2020-11-01	gmap | forum | tesla
Lacey, WA	655 Sleater Kinney Rd SE	Lacey	WA	98503	USA	12	250	47.0427557461906, -122.836407423019	64	OPEN	2020-10-30	gmap | forum | tesla
Aurora - IL-59, IL	808 IL-59 S	Aurora	IL	60504	USA	12	250	41.769119, -88.208105	216	OPEN	2020-10-30	gmap | forum | tesla
Hartford - Leibert Rd, CT	195 Leibert Rd	Hartford	CT	06120	USA	12	150	41.788236, -72.65582	7	OPEN	2020-10-30	gmap | forum | tesla
North Charleston, SC	4855 Tanger Outlet Blvd	North Charleston	SC	29418	USA	8	250	32.872626, -80.015535	6	OPEN	2020-10-29	gmap | forum | tesla
Claymont - Philadelphia Pike, DE	2621 Philadelphia Pike	Claymont	DE	19703	USA	4	250	39.794589561233245, -75.46957254409	29	OPEN	2020-10-28	gmap | forum | tesla
Pittsburgh, PA	5550 Centre Ave	Pittsburgh	PA	15232	USA	8	72	40.456432, -79.934125	270	OPEN	2020-10-21	gmap | forum | tesla
Palmdale, CA	1233 Rancho Vista Blvd	Palmdale	CA	93551	USA	12	250	34.606207, -118.151386	815	OPEN	2020-10-19	gmap | forum | tesla
Titusville, FL	3055 Columbia Blvd	Titusville	FL	32780	USA	16	250	28.552782, -80.840594	6	OPEN	2020-10-18	gmap | forum | tesla
Lincoln - Groveland Lane, CA	950 Groveland Ln	Lincoln	CA	95648	USA	8	250	38.869969, -121.303187	44	OPEN	2020-10-15	gmap | forum | tesla
Gettysburg, PA	30 Camp Letterman Dr	Gettysburg	PA	17325	USA	8	250	39.844127, -77.19905	182	OPEN	2020-10-15	gmap | forum | tesla
Baltimore - Boston Street, MD	3779 Boston St	Baltimore	MD	21224	USA	12	250	39.274972, -76.563528	9	OPEN	2020-10-13	gmap | forum | tesla
Valdosta, GA	2112 W Hill Ave	Valdosta	GA	31601	USA	8	250	30.81732, -83.320889	61	OPEN	2020-10-11	gmap | forum | tesla
Brighton, CO	5112 E Bromley Ln	Brighton	CO	80603	USA	8	250	39.971722, -104.748972	1550	OPEN	2020-10-08	gmap | forum | tesla
Minneapolis, MN	1600 New Brighton Blvd	Minneapolis	MN	55413	USA	10	250	45.004609, -93.229542	265	OPEN	2020-10-07	gmap | forum | tesla
Hawthorne - W 120th St, CA	2700 W 120th St	Hawthorne	CA	90250	USA	16	250	33.923198, -118.322218	21	OPEN	2020-10-05	gmap | forum | tesla
Superior - S Marshall Rd (SC), CO	2 S Marshall Rd	Superior	CO	80027	USA	16	250	39.9548017, -105.1646291	1669	OPEN	2020-10-02	gmap | forum | tesla
Fort Pierce, FL	5575 Okeechobee Rd	Fort Pierce	FL	34749	USA	8	250	27.416538, -80.381845	5	OPEN	2020-10-02	gmap | forum | tesla
San Clemente - Av. Vista Hermosa, CA	990 Avenida Vista Hermosa	San Clemente	CA	92673	USA	12	250	33.463091, -117.60783	124	OPEN	2020-10-01	gmap | forum | tesla
Sacramento - Freeport Blvd, CA	4700 Freeport Blvd	Sacramento	CA	95822	USA	8	250	38.533691, -121.4961	6	OPEN	2020-09-30	gmap | forum | tesla
Great Barrington, MA	700 Main St	Great Barrington	MA	01230	USA	8	250	42.180663, -73.364632	209	OPEN	2020-09-26	gmap | forum | tesla
Simi Valley - Tierra Rejada Road, CA	51 Tierra Rejada Rd	Simi Valley	CA	93065	USA	12	250	34.272167, -118.797139	220	OPEN	2020-09-22	gmap | forum | tesla
Jacksonville - Chaffee Rd, FL	703 Chaffee Rd S	Jacksonville	FL	32221	USA	8	250	30.307077, -81.847887	21	OPEN	2020-09-19	gmap | forum | tesla
Kinston, NC	4483 US-70 E	Kinston	NC	28504	USA	8	250	35.26079, -77.649666	13	OPEN	2020-09-18	gmap | forum | tesla
Los Angeles - Alameda St, CA	777 Alameda St	Los Angeles	CA	90021	USA	16	72	34.033502, -118.240852	74	OPEN	2020-09-17	gmap | forum | tesla
Santa Clara, CA	3945 Rivermark Plaza	Santa Clara	CA	95054	USA	16	72	37.394816, -121.945157	6	OPEN	2020-09-17	gmap | forum | tesla
Las Vegas - Grand Central Parkway, NV	875 S Grand Central Pkwy	Las Vegas	NV	89106	USA	8	250	36.165908, -115.158343	622	OPEN	2020-09-15	gmap | forum | tesla
Chillicothe, OH	1080 N Bridge St	Chillicothe	OH	45601	USA	8	250	39.35835, -82.977277	190	OPEN	2020-09-12	gmap | forum | tesla
Lady Lake, FL	116 N. Highway 27/441	Lady Lake	FL	32159	USA	8	250	28.917179, -81.923031	24	OPEN	2020-09-09	gmap | forum | tesla
Nashville - Old Hickory Blvd, TN	780 Old Hickory Blvd	Nashville	TN	37027	USA	12	250	36.042377, -86.777844	214	OPEN	2020-09-06	gmap | forum | tesla
Conifer, CO	25637 Conifer Rd	Conifer	CO	80433	USA	8	250	39.544083, -105.289972	2465	OPEN	2020-09-05	gmap | forum | tesla
Rutland, VT	194 Woodstock Ave	Rutland	VT	05701	USA	6	250	43.617562, -72.957208	206	OPEN	2020-09-05	gmap | forum | tesla
Paso Robles, CA	2449 Golden Hill Rd	Paso Robles	CA	93446	USA	28	250	35.645482, -120.660047	243	OPEN	2020-09-04	gmap | forum | tesla
Cerritos, CA	239 Los Cerritos Center	Cerritos	CA	90703	USA	12	72	33.8643904, -118.0915723	17	OPEN	2020-09-04	gmap | forum | tesla
Ozark, AR	3202 Pence Ln	Ozark	AR	72949	USA	8	250	35.5238, -93.8636	160	OPEN	2020-09-04	gmap | forum | tesla
Marin City, CA	190 Donahue St	Sausalito	CA	94965	USA	16	72	37.872835, -122.510499	3	OPEN	2020-09-03	gmap | forum | tesla
Ontario, OR	243 NE East Ln	Ontario	OR	97914	USA	8	250	44.025597, -116.942114	655	OPEN	2020-09-03	gmap | forum | tesla
Lakeland, FL	4320 US Hwy 98 N	Lakeland	FL	33809	USA	7	250	28.0979989, -81.9746033	60	OPEN	2020-09-03	gmap | forum | tesla
San Jose - East Capitol Expressway, CA	3096 Tuers Rd	San Jose	CA	95121	USA	20	250	37.300551, -121.825198	48	OPEN	2020-08-29	gmap | forum | tesla
Patterson - Speno Dr, CA	2959 Speno Dr	Patterson	CA	95363	USA	8	250	37.466496, -121.174403	60	OPEN	2020-08-29	gmap | forum | tesla
Panama City Beach, FL	14100 Panama City Beach Parkway	Panama City Beach	FL	32413	USA	8	250	30.211432, -85.849367	9	OPEN	2020-08-28	gmap | forum | tesla
Minnetonka, MN	13201 Ridgedale Dr	Minnetonka	MN	55305	USA	8	250	44.9698145, -93.4478659	294	OPEN	2020-08-27	gmap | forum | tesla
Elizabeth, NJ	651 Kapkowski Rd	Elizabeth	NJ	07201	USA	16	250	40.662806, -74.173611	6	OPEN	2020-08-25	gmap | forum | tesla
Ashland, NH	158 Main St	Ashland	NH	03217	USA	8	250	43.698101, -71.640119	163	OPEN	2020-08-21	gmap | forum | tesla
Brunswick, GA	500 Millennium Blvd	Brunswick	GA	31525	USA	24	250	31.245874, -81.501667	9	OPEN	2020-08-18	gmap | forum | tesla
San Francisco, CA	601 Van Ness Ave	San Francisco	CA	94102	USA	12	72	37.781296, -122.421394	26	OPEN	2020-08-14	gmap | forum | tesla
Kremmling, CO	605 Park Ave	Kremmling	CO	80459	USA	8	250	40.059575, -106.387881	2247	OPEN	2020-08-08	gmap | forum | tesla
Los Altos, CA	4800 El Camino Real	Los Altos	CA	94022	USA	16	72	37.398894, -122.110682	24	OPEN	2020-08-07	gmap | forum | tesla
Washington, PA	331 Washington Rd	Washington	PA	15301	USA	8	250	40.1873056, -80.2293889	370	OPEN	2020-08-05	gmap | forum | tesla
Chula Vista, CA	910 Eastlake Pkwy	Chula Vista	CA	91915	USA	12	250	32.649168, -116.9676	168	OPEN	2020-08-04	gmap | forum | tesla
Springfield - Cleveland Place, NJ	697 Morris Tpke	Springfield	NJ	07081	USA	8	250	40.717706, -74.329462	53	OPEN	2020-07-30	gmap | forum | tesla
Deptford, NJ	1750 Deptford Center Rd	Deptford	NJ	08096	USA	12	150	39.833413, -75.097737	15	OPEN	2020-07-29	gmap | forum | tesla
Katy, TX	25675 Nelson Way	Katy	TX	77494	USA	12	150	29.774658, -95.821859	42	OPEN	2020-07-24	gmap | forum | tesla
Elk Grove - Elk Grove Blvd, CA	8451 Elk Grove Blvd	Elk Grove	CA	95758	USA	16	250	38.409389, -121.391028	11	OPEN	2020-07-21	gmap | forum | tesla
Santa Cruz, CA	911 Soquel Ave	Santa Cruz	CA	95062	USA	16	250	36.978635, -122.013968	23	OPEN	2020-07-18	gmap | forum | tesla
Vienna, VA	465 Maple Ave W	Vienna	VA	22180	USA	8	250	38.895195, -77.273938	120	OPEN	2020-07-16	gmap | forum | tesla
Chantilly, VA	25451 Lizzie Center Dr	South Riding	VA	20152	USA	8	250	38.9137222, -77.4869722	95	OPEN	2020-07-15	gmap | forum | tesla
Modesto - Sisk Rd, CA	3900 Sisk Rd	Modesto	CA	95356	USA	12	250	37.694343, -121.064215	22	OPEN	2020-07-13	gmap | forum | tesla
Bothell, WA	19128 112th Ave NE	Bothell	WA	98011	USA	10	72	47.767606, -122.191712	24	OPEN	2020-07-09	gmap | forum | tesla
Lake Placid, NY	1930 Saranac Ave	Lake Placid	NY	12946	USA	8	250	44.294797, -74.010526	592	OPEN	2020-07-08	gmap | forum | tesla
Burley, ID	E 5th St N	Heyburn	ID	83336	USA	8	250	42.56159, -113.790261	1264	OPEN	2020-07-08	gmap | forum | tesla
El Cerrito, CA	180 El Cerrito Plz	El Cerrito	CA	94530	USA	14	72	37.898575, -122.30073	10	OPEN	2020-07-03	gmap | forum | tesla
