Supercharger	Street Address	City	State	Zip	Country	Stalls	kW	GPS	Elev(m)	Status	Open Date	Links
Madison - East Towne Mall, WI	89 E Towne Mall	Madison	WI	53704	USA	3	120	43.12669, -89.306896	267	OPEN	2014-01-13	gmap | forum | tesla
Blanding, UT	12 N Grayson Pkwy	Blanding	UT	84511	USA	4		37.6255534, -109.47384199999999	1849	OPEN	2014-01-13	gmap | forum | tesla
Farmington, NM	4200 Sierra Vista Dr	Farmington	NM	87402	USA	4	120	36.766371, -108.144047	1673	OPEN	2014-01-10	gmap | forum | tesla
Somerset, PA	1030 N Center Ave	Somerset	PA	15501	USA	6	150	40.017383, -79.077117	641	OPEN	2014-01-10	gmap | forum | tesla
Flagstaff, AZ	2650 S Beulah Blvd	Flagstaff	AZ	86001	USA	12	150	35.174272, -111.66328	2106	OPEN	2014-01-10	gmap | forum | tesla
Grand Junction, CO	2420 U.S. 6	Grand Junction	CO	81505	USA	6		39.090758, -108.604325	1386	OPEN	2014-01-10	gmap | forum | tesla
Gallup, NM	111 Twin Buttes Rd	Gallup	NM	87301	USA	8	250	35.505278, -108.828094	1970	OPEN	2014-01-07	gmap | forum | tesla
East Greenwich, RI	1000 Division St	East Greenwich	RI	02818	USA	8		41.660517, -71.497242	73	OPEN	2014-01-06	gmap | forum | tesla
La Crosse, WI	2845 Midwest Dr	Onalaska	WI	54650	USA	6	120	43.879042, -91.188428	219	OPEN	2014-01-05	gmap | forum | tesla
St. Augustine, FL	2700 State Road 16, Suite 200	St. Augustine	FL	32092	USA	6		29.924286, -81.416018	14	OPEN	2014-01-03	gmap | forum | tesla
Murdo, SD	302 W 5th St	Murdo	SD	57559	USA	4		43.886915, -100.716887	691	OPEN	2013-12-31	gmap | forum | tesla
Santee, SC	114 Bradford Blvd	Santee	SC	29142	USA	8	150	33.485858, -80.475763	39	OPEN	2013-12-27	gmap | forum | tesla
Ellensburg, WA	1620 Canyon Rd	Ellensburg	WA	98926	USA	5	150	46.976918, -120.54162	454	OPEN	2013-12-23	gmap | forum | tesla
JFK Airport, NY	150th Ave and 147th St	Queens	NY	11430	USA	4		40.66319, -73.793192	3	OPEN	2013-12-23	gmap | forum | tesla
Detroit Lake, OR	210 D St	Detroit	OR	97342	USA	6	150	44.737025, -122.152108	492	OPEN	2013-12-23	gmap | forum | tesla
